No.,d-spacing [nm],2theta [deg.],Int.,h k l,Mul.
1,0.4157,24.860,644.5,1 0 0,6
2,0.2939,35.460,1000.0,1 1 0,12
3,0.2400,43.800,417.5,1 1 1,8
4,0.2078,51.020,209.5,2 0 0,6
5,0.1859,57.560,474.2,2 1 0,24
6,0.1697,63.660,255.8,2 1 1,24
7,0.1470,75.040,97.0,2 2 0,12
8,0.1386,80.480,25.3,3 0 0,6
9,0.1386,80.480,256.4,2 2 1,24
10,0.1314,85.840,209.2,3 1 0,24
11,0.1253,91.140,140.6,3 1 1,24
12,0.1200,96.480,27.5,2 2 2,8
13,0.1153,101.860,108.0,3 2 0,24
14,0.1111,107.360,246.5,3 2 1,48
15,0.1039,118.920,52.0,4 0 0,6
16,0.1008,125.200,125.7,4 1 0,24
17,0.1008,125.200,176.1,3 2 2,24
18,0.0980,132.000,133.7,3 3 0,12
19,0.0980,132.000,161.2,4 1 1,24
20,0.0954,139.640,155.9,3 3 1,24
21,0.0930,148.720,286.6,4 2 0,24
