No.,d-spacing [nm],2theta [deg.],Int.,h k l,Mul.
1,0.4157,21.380,634.0,1 0 0,6
2,0.2939,30.400,1000.0,1 1 0,12
3,0.2400,37.480,423.7,1 1 1,8
4,0.2078,43.540,215.0,2 0 0,6
5,0.1859,49.000,490.4,2 1 0,24
6,0.1697,54.040,265.0,2 1 1,24
7,0.1470,63.280,98.4,2 2 0,12
8,0.1386,67.600,25.0,3 0 0,6
9,0.1386,67.600,253.8,2 2 1,24
10,0.1314,71.820,199.6,3 1 0,24
11,0.1253,75.920,127.7,3 1 1,24
12,0.1200,79.940,23.5,2 2 2,8
13,0.1153,83.920,85.8,3 2 0,24
14,0.1111,87.880,180.2,3 2 1,48
15,0.1039,95.780,31.1,4 0 0,6
16,0.1008,99.740,67.0,4 1 0,24
17,0.1008,99.740,93.9,3 2 2,24
18,0.0980,103.780,62.1,3 3 0,12
19,0.0980,103.780,74.9,4 1 1,24
20,0.0954,107.880,61.1,3 3 1,24
21,0.0930,112.060,88.1,4 2 0,24
22,0.0907,116.380,192.3,4 2 1,48
23,0.0886,120.880,100.6,3 3 2,24
24,0.0849,130.600,76.9,4 2 2,24
25,0.0831,136.020,22.8,5 0 0,6
26,0.0831,136.020,71.7,4 3 0,24
27,0.0815,142.040,120.8,5 1 0,24
28,0.0815,142.040,297.2,4 3 1,48
29,0.0800,149.000,209.5,5 1 1,24
30,0.0800,149.000,31.3,3 3 3,8
